"start","logRatio"
0,2.43633546735865
30000,2.58976157919218
60000,1.56014020015222
90000,0.242564750160513
120000,-0.376492445932179
150000,0.673201361299476
210000,2.53206530599357
240000,1.06963400379754
300000,-0.317242606103643
360000,-0.948272542800771
390000,-0.862765476794055
420000,-1.31284580098929
450000,-0.800030610513921
510000,1.06819911864178
540000,1.26727338421073
570000,1.31279431466785
600000,1.59569076454022
630000,0.72222304796646
660000,0.0342522385517526
690000,0.805958114563893
720000,-1.22824473186554
750000,-2.85675927989191
780000,-1.03643167631753
810000,-1.66084088202851
840000,-2.90851990165819
870000,-1.00974947298931
900000,-0.00416480433119729
930000,-1.30523031215037
960000,-1.84646682870571
990000,-0.253934877000679
1020000,-0.136249522778331
1050000,-0.810116416929103
1080000,-0.451391204234544
1110000,-0.882821053001623
1140000,-1.12788191521823
1170000,-0.570521579130355
1200000,-1.31700140564929
1230000,-2.33460360980167
1260000,-1.20361043939291
1290000,0.232511612379092
1320000,0.120709031131165
1350000,0.0593468035535114
1380000,0.159272166619946
1410000,-0.0530949915289702
1440000,-0.157267016886071
1470000,0.116980169563469
1500000,0.0653758458482428
1530000,-0.207487524010894
1560000,0.0268862152941894
1590000,0.118788041677374
1620000,0.0528751154643739
1650000,0.110958067965581
1680000,0.288285907679543
1710000,0.552782993263873
1740000,0.780759382477045
1770000,0.78485880070248
1800000,0.294099686834152
1830000,0.0492313029031053
1860000,-0.0963614267591145
1890000,-0.0934175810595641
1920000,-0.320297189115079
1950000,-1.29497740039474
1980000,-1.31033012886028
2010000,-0.398294098243163
2040000,-0.116577318064099
2070000,-0.462000941839978
2100000,-0.505188944455856
2130000,-0.302113757379755
2160000,-0.436392106945399
2190000,-0.967322493154696
2220000,-0.944615004525276
2250000,-0.385028364134799
2280000,-0.447966873965068
2310000,-1.16831286330387
2340000,-2.30343843797296
2370000,-2.32999475082621
2400000,-3.61248828686506
2430000,-3.82402341702921
2460000,-1.48354965644395
2490000,-0.55672509865613
2520000,0.202061985522617
2550000,0.717401433203886
2580000,0.865234576093418
2610000,1.37603946107061
2670000,0.897504390383181
2700000,0.122544850966622
2730000,-0.0645805209965342
2760000,-3.28712263221909
2790000,-4.98194165930107
2820000,-2.67778843227463
2850000,-1.72331930478658
2880000,-1.67603948566714
2910000,-1.2903747135763
2940000,-1.50444210682602
2970000,-2.88171265947799
3000000,-3.39927127246557
3030000,-2.5328557291061
3060000,-2.18031138307855
3090000,-3.54466276276465
3120000,-3.23796349910951
3150000,-2.62844713007276
3180000,-3.47983968028299
3210000,-2.86731960446618
3240000,-2.29624107217547
3270000,-3.27437129459342
3300000,-3.76692241742246
3330000,-2.00205132871503
3360000,-1.42663454721748
3390000,-1.9846816113488
3420000,-1.81776252557182
3450000,-1.63863210744458
3480000,-1.39266831041349
3510000,-0.75560358802602
3540000,-0.583963363684238
3570000,-1.24932933064019
3600000,-1.30374542147375
3630000,-0.599296669362492
3660000,-0.36799269587053
3690000,-0.356017643054241
3720000,0.0742327876155421
3750000,0.334759020645889
3780000,0.156242896495396
3810000,-0.140875143086639
3840000,-0.374696305886654
3990000,-0.315504687637691
4020000,-0.221959601186575
4050000,-0.0460424272920309
4080000,-0.609058179035304
4110000,-2.08917134040467
4140000,-2.34370660140082
4170000,-1.29459046251161
4200000,0.33200178612476
4230000,0.78812895095208
4260000,0.765268683936114
4290000,1.19315080120084
4320000,0.0276329019284243
4350000,-0.773784186342316
4380000,-0.701091998432185
4410000,-0.627930785237063
4440000,-0.33579128126467
4470000,-0.691225243384641
4500000,-1.05257409364922
4530000,-1.60410485815983
4560000,-0.616380223942167
4590000,1.05427996961514
4620000,-0.0880489714468632
4650000,-1.15009649274446
4680000,-0.709538218314211
4710000,-0.962530177967359
4740000,-1.81559217582419
4770000,-1.54052207485367
4800000,-2.16212845101306
4830000,-1.56759389349547
4860000,-0.0874520993457916
4890000,0.0342389781044613
4920000,0.285863541673822
4950000,-0.923562944218656
4980000,-2.03493399353808
5010000,-2.23390385324577
5040000,-1.22668464477331
5070000,-1.36794028834519
5100000,-1.19503703050601
5130000,1.06855542786345
5160000,-0.129321912125225
5190000,-1.15388621698932
5220000,1.42643371640379
5250000,0.726292018840305
5280000,-1.4647170000256
5310000,-1.84290484978712
5340000,-1.05301605887464
5370000,0.712779258906885
5400000,0.108207982170916
5430000,-1.59593904836296
5460000,-2.0524635759683
5490000,-2.03750510323154
5520000,-2.83616394897545
5550000,-2.07940824790072
5580000,-0.432848338608847
5610000,0.688450027341423
5640000,0.993580946974341
5670000,-0.374715023227897
5700000,-0.646668129958447
5730000,-0.295741209927427
5760000,-0.712681010452992
5790000,-0.720896039571689
5820000,-0.329875270178388
5850000,-0.545268906084207
5880000,-3.08915743447331
5910000,-4.14327189804588
5940000,-2.3111645713371
5970000,-0.964815537233369
6000000,-0.0943182063518898
6030000,0.0348421217973136
6060000,-0.152203765830599
6090000,-0.3279805083491
6120000,-0.335252739460361
6150000,-0.317095504842912
6180000,-0.318936813032913
6210000,0.144898942937668
6240000,0.496627232321337
6270000,-0.414674103596951
6300000,-0.896818069648859
6330000,-0.235207926975164
6360000,0.0805262315452394
6390000,0.465222668513108
6420000,0.815169356980738
6450000,0.227584865390893
6480000,-0.299160076817392
6510000,-0.405596126669086
6540000,0.196369848729667
6570000,0.908124057247169
6600000,0.553035741157387
6630000,0.348800208591086
6660000,0.405991711450518
6690000,0.663112503300045
6720000,0.886637674118781
6750000,0.345518949205089
6780000,0.329305601480772
6810000,0.352582875528006
6840000,0.264345177649733
6870000,-0.0946088275077289
6900000,-0.716311417754926
6930000,-1.34373813721149
6960000,-1.26173800510641
